id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45258129,Fully renovated entire apartment in heart of BURG,107412747,Jazz,Brooklyn,Williamsburg,40.71217,-73.95384,Entire home/apt,250,30,21,2022-02-11,0.69,3,347,0,
45261830,A+ Location Studio Apartment (Loft 2 Double Beds),348619646,Nomad,Manhattan,Midtown,40.74632,-73.98804,Entire home/apt,149,1,65,2023-02-20,2.40,51,141,46,
45261941,A+ Location Classic Studio (2 Double Beds),348619646,Nomad,Manhattan,Midtown,40.74797,-73.98847,Entire home/apt,161,1,71,2023-02-20,2.33,51,279,40,
45344367,"FiDi 1BR w/ Gym, Lounge, Complete Gym",107434423,Blueground,Manhattan,Financial District,40.7056,-74.00878,Entire home/apt,269,31,0,,,526,155,0,
45267660,Luxury Private Room with Outdoor Space,39162543,Jeff,Bronx,Morris Heights,40.84887,-73.92309,Private room,96,1,0,,,3,364,0,
45424264,Javier,360573155,Javier,Manhattan,Inwood,40.86754,-73.92506,Private room,99,1,50,2023-02-19,2.96,2,365,37,
45424770,Chic Private Suite,82088787,Sheren,Staten Island,Castleton Corners,40.62405,-74.12465,Entire home/apt,99,2,0,,,2,280,0,
45345628,"FiDi 1BR w/ Gym, Lounge, Complete Gym",107434423,Blueground,Manhattan,Financial District,40.7056,-74.00878,Entire home/apt,257,31,0,,,526,273,0,
45267941,Private Room in Luxury Apartment,39162543,Jeff,Bronx,Morris Heights,40.85003,-73.92281,Private room,72,1,0,,,3,364,0,
45349187,Furnished bedroom in Vintage Style Apt - JMZ Train,30532557,Eibhlin,Brooklyn,Bushwick,40.70032,-73.93894,Private room,39,30,1,2021-09-30,0.06,23,339,0,
45268111,LUXURIOUS House with AMAZING outdoor space,39162543,Jeff,Bronx,Morris Heights,40.84971,-73.92299,Entire home/apt,313,2,19,2023-02-09,0.87,3,365,11,
